src,dst,time
60,397,timestamp1
14,1049,timestamp1
39,1333,timestamp1
2,71,timestamp1
20,398,timestamp1
55,1050,timestamp1
299,1334,timestamp1
47,72,timestamp1
14,399,timestamp1
62,1051,timestamp1
14,1335,timestamp1
79,72,timestamp1
8,400,timestamp1
365,1052,timestamp1
85,1336,timestamp1
14,73,timestamp1
79,401,timestamp1
169,1053,timestamp1
2,1337,timestamp1
31,74,timestamp1
2,402,timestamp1
14,1054,timestamp1
66,1338,timestamp1
96,75,timestamp1
66,403,timestamp1
365,1055,timestamp1
123,1338,timestamp1
79,75,timestamp1
254,404,timestamp1
66,1056,timestamp1
123,1339,timestamp1
2,76,timestamp1
405,815,timestamp1
212,1057,timestamp1
2,1340,timestamp1
14,77,timestamp1
405,1375,timestamp1
20,1058,timestamp1
31,1341,timestamp1
47,78,timestamp1
405,1373,timestamp1
20,1059,timestamp1
66,1341,timestamp1
79,78,timestamp1
405,1381,timestamp1
1083,1060,timestamp1
20,1342,timestamp1
79,79,timestamp1
405,188,timestamp1
45,1061,timestamp1
55,1343,timestamp1
14,80,timestamp1
405,457,timestamp1
60,1062,timestamp1
70,1344,timestamp1
81,1477,timestamp1
405,709,timestamp1
20,1063,timestamp1
55,1345,timestamp1
81,1279,timestamp1
405,35,timestamp1
76,1063,timestamp1
264,1346,timestamp1
81,1476,timestamp1
405,41,timestamp1
123,1064,timestamp1
795,1347,timestamp1
81,1129,timestamp1
405,740,timestamp1
66,1064,timestamp1
6,1348,timestamp1
81,1478,timestamp1
405,1106,timestamp1
414,1065,timestamp1
62,1349,timestamp1
81,1084,timestamp1
405,148,timestamp1
31,1066,timestamp1
1350,1034,timestamp1
999,81,timestamp1
405,813,timestamp1
66,1067,timestamp1
1350,1179,timestamp1
431,81,timestamp1
405,902,timestamp1
83,1068,timestamp1
1350,1043,timestamp1
807,81,timestamp1
405,991,timestamp1
62,1069,timestamp1
47,1351,timestamp1
434,81,timestamp1
405,327,timestamp1
70,1070,timestamp1
79,1351,timestamp1
888,81,timestamp1
405,467,timestamp1
90,1071,timestamp1
96,1351,timestamp1
2,82,timestamp1
405,7,timestamp1
2,1072,timestamp1
20,1352,timestamp1
2,83,timestamp1
405,1249,timestamp1
20,1073,timestamp1
60,1353,timestamp1
33,84,timestamp1
405,1191,timestamp1
76,1073,timestamp1
90,1354,timestamp1
123,85,timestamp1
405,1385,timestamp1
66,1074,timestamp1
70,1355,timestamp1
55,86,timestamp1
405,149,timestamp1
55,1075,timestamp1
60,1356,timestamp1
55,87,timestamp1
405,933,timestamp1
70,1076,timestamp1
96,1357,timestamp1
20,87,timestamp1
405,1171,timestamp1
76,1077,timestamp1
1358,988,timestamp1
83,88,timestamp1
405,830,timestamp1
20,1077,timestamp1
1358,720,timestamp1
96,89,timestamp1
405,595,timestamp1
79,1078,timestamp1
1358,1146,timestamp1
79,89,timestamp1
406,524,timestamp1
37,1079,timestamp1
1358,805,timestamp1
76,90,timestamp1
406,804,timestamp1
8,1080,timestamp1
1358,810,timestamp1
20,90,timestamp1
406,672,timestamp1
14,1081,timestamp1
1358,994,timestamp1
60,91,timestamp1
406,677,timestamp1
20,1082,timestamp1
1358,787,timestamp1
254,92,timestamp1
406,696,timestamp1
62,1083,timestamp1
111,1358,timestamp1
14,93,timestamp1
406,529,timestamp1
23,1084,timestamp1
267,1358,timestamp1
60,94,timestamp1
20,407,timestamp1
66,1085,timestamp1
79,1359,timestamp1
20,95,timestamp1
8,408,timestamp1
1086,707,timestamp1
1360,1197,timestamp1
11,96,timestamp1
20,409,timestamp1
1086,1369,timestamp1
1360,1483,timestamp1
20,97,timestamp1
66,410,timestamp1
1086,275,timestamp1
1360,1321,timestamp1
76,97,timestamp1
85,411,timestamp1
1086,1298,timestamp1
1360,1024,timestamp1
264,98,timestamp1
2,412,timestamp1
1086,506,timestamp1
1360,1494,timestamp1
62,99,timestamp1
20,413,timestamp1
1086,343,timestamp1
1360,415,timestamp1
14,100,timestamp1
76,413,timestamp1
1086,1371,timestamp1
17,1361,timestamp1
60,101,timestamp1
17,413,timestamp1
1086,255,timestamp1
20,1361,timestamp1
47,102,timestamp1
414,884,timestamp1
1086,1510,timestamp1
76,1361,timestamp1
96,102,timestamp1
414,622,timestamp1
1086,329,timestamp1
169,1362,timestamp1
79,102,timestamp1
414,876,timestamp1
